Choice,FishCh,PrevChoice,PrevFish,PrevReward,PrevdComp,PrevdRel,IsCompSwitch,IsRelSwitch,Trial
0,0,NaN,NaN,NaN,NaN,NaN,0,0,1
0,1,0,0,0,0.338956167944626,0.15,0,0,2
1,3,0,1,0,0.338956167944626,0.15,0,0,3
1,3,1,3,1,0.338956167944626,0.15,0,0,4
1,3,1,3,1,0.338956167944626,0.15,0,0,5
1,3,1,3,1,0.338956167944626,0.15,0,0,6
1,3,1,3,0,0.338956167944626,0.15,0,0,7
1,2,1,3,1,0.338956167944626,0.15,0,0,8
1,2,1,2,1,0.338956167944626,0.15,0,0,9
0,0,1,2,0,0.338956167944626,0.15,0,0,10
1,3,0,0,0,0.338956167944626,0.15,0,0,11
0,1,1,3,1,0.338956167944626,0.15,0,0,12
0,0,0,1,0,0.338956167944626,0.15,0,0,13
1,3,0,0,0,0.338956167944626,0.15,0,0,14
0,2,1,3,1,0.338956167944626,0.15,0,0,15
0,3,0,2,0,0.338956167944626,0.15,1,0,16
1,0,0,3,0,-0.338956167944626,0.15,0,0,17
1,0,1,0,0,-0.338956167944626,0.15,0,0,18
0,2,1,0,0,-0.338956167944626,0.15,0,0,19
1,0,0,2,0,-0.338956167944626,0.15,0,0,20
1,0,1,0,0,-0.338956167944626,0.15,0,0,21
1,0,1,0,0,-0.338956167944626,0.15,0,0,22
1,2,1,0,0,-0.338956167944626,0.15,0,0,23
1,0,1,2,0,-0.338956167944626,0.15,0,1,24
1,0,1,0,0,-0.338956167944626,-0.15,0,0,25
0,1,1,0,0,-0.338956167944626,-0.15,0,0,26
0,3,0,1,0,-0.338956167944626,-0.15,0,0,27
0,3,0,3,1,-0.338956167944626,-0.15,0,0,28
1,0,0,3,0,-0.338956167944626,-0.15,0,0,29
0,3,1,0,0,-0.338956167944626,-0.15,0,0,30
1,1,0,3,1,-0.338956167944626,-0.15,0,0,31
0,3,1,1,0,-0.338956167944626,-0.15,0,0,32
0,0,0,3,1,-0.338956167944626,-0.15,1,0,33
1,1,0,0,0,0.108982566249368,-0.15,0,0,34
1,0,1,1,0,0.108982566249368,-0.15,0,0,35
1,2,1,0,0,0.108982566249368,-0.15,0,0,36
0,2,1,2,1,0.108982566249368,-0.15,0,0,37
1,2,0,2,0,0.108982566249368,-0.15,0,0,38
1,1,1,2,0,0.108982566249368,-0.15,0,0,39
1,2,1,1,0,0.108982566249368,-0.15,0,0,40
1,3,1,2,1,0.108982566249368,-0.15,0,0,41
1,2,1,3,0,0.108982566249368,-0.15,0,0,42
1,2,1,2,0,0.108982566249368,-0.15,0,0,43
1,3,1,2,0,0.108982566249368,-0.15,0,0,44
1,3,1,3,0,0.108982566249368,-0.15,0,0,45
1,3,1,3,0,0.108982566249368,-0.15,0,1,46
1,3,1,3,0,0.108982566249368,0.15,0,0,47
0,3,1,3,0,0.108982566249368,0.15,0,0,48
0,0,0,3,0,0.108982566249368,0.15,0,0,49
1,2,0,0,0,0.108982566249368,0.15,0,0,50
1,1,1,2,0,0.108982566249368,0.15,0,0,51
1,1,1,1,1,0.108982566249368,0.15,0,0,52
1,2,1,1,0,0.108982566249368,0.15,0,0,53
1,3,1,2,0,0.108982566249368,0.15,1,0,54
1,2,1,3,1,-0.338956167944626,0.15,0,0,55
1,2,1,2,0,-0.338956167944626,0.15,0,0,56
1,1,1,2,1,-0.338956167944626,0.15,0,0,57
0,3,1,1,0,-0.338956167944626,0.15,0,0,58
1,2,0,3,1,-0.338956167944626,0.15,0,0,59
1,1,1,2,0,-0.338956167944626,0.15,0,0,60
0,3,1,1,0,-0.338956167944626,0.15,0,0,61
0,3,0,3,0,-0.338956167944626,0.15,0,0,62
0,3,0,3,0,-0.338956167944626,0.15,0,0,63
1,0,0,3,0,-0.338956167944626,0.15,0,0,64
0,3,1,0,0,-0.338956167944626,0.15,0,0,65
0,3,0,3,0,-0.338956167944626,0.15,0,0,66
0,3,0,3,0,-0.338956167944626,0.15,0,0,67
0,3,0,3,0,-0.338956167944626,0.15,0,0,68
0,3,0,3,0,-0.338956167944626,0.15,0,0,69
0,3,0,3,1,-0.338956167944626,0.15,0,1,70
0,3,0,3,1,-0.338956167944626,-0.15,0,0,71
0,3,0,3,1,-0.338956167944626,-0.15,0,0,72
0,3,0,3,1,-0.338956167944626,-0.15,0,0,73
0,3,0,3,1,-0.338956167944626,-0.15,0,0,74
0,3,0,3,1,-0.338956167944626,-0.15,0,0,75
0,3,0,3,1,-0.338956167944626,-0.15,0,0,76
1,0,0,3,1,-0.338956167944626,-0.15,0,0,77
1,3,1,0,0,-0.338956167944626,-0.15,1,0,78
1,3,1,3,0,0.151657833323885,-0.15,0,0,79
1,3,1,3,0,0.151657833323885,-0.15,0,0,80
1,3,1,3,0,0.151657833323885,-0.15,0,0,81
0,0,1,3,1,0.151657833323885,-0.15,0,0,82
0,3,0,0,0,0.151657833323885,-0.15,0,0,83
0,3,0,3,1,0.151657833323885,-0.15,0,0,84
0,3,0,3,1,0.151657833323885,-0.15,0,0,85
0,1,0,3,1,0.151657833323885,-0.15,0,0,86
0,2,0,1,0,0.151657833323885,-0.15,0,0,87
0,2,0,2,0,0.151657833323885,-0.15,0,0,88
0,1,0,2,1,0.151657833323885,-0.15,0,0,89
0,2,0,1,0,0.151657833323885,-0.15,0,0,90
1,0,0,2,0,0.151657833323885,-0.15,0,0,91
1,3,1,0,1,0.151657833323885,-0.15,0,0,92
1,3,1,3,1,0.151657833323885,-0.15,1,0,93
1,2,1,3,0,-0.362701665379258,-0.15,0,0,94
1,3,1,2,0,-0.362701665379258,-0.15,0,0,95
1,3,1,3,1,-0.362701665379258,-0.15,0,0,96
1,3,1,3,0,-0.362701665379258,-0.15,0,0,97
1,3,1,3,0,-0.362701665379258,-0.15,0,0,98
1,1,1,3,0,-0.362701665379258,-0.15,0,0,99
1,2,1,1,0,-0.362701665379258,-0.15,0,0,100
1,2,1,2,0,-0.362701665379258,-0.15,0,1,101
1,2,1,2,0,-0.362701665379258,0.15,0,0,102
1,0,1,2,0,-0.362701665379258,0.15,0,0,103
0,3,1,0,0,-0.362701665379258,0.15,0,0,104
0,2,0,3,0,-0.362701665379258,0.15,0,0,105
0,0,0,2,0,-0.362701665379258,0.15,0,0,106
0,3,0,0,0,-0.362701665379258,0.15,0,0,107
0,3,0,3,1,-0.362701665379258,0.15,0,0,108
0,3,0,3,0,-0.362701665379258,0.15,0,0,109
0,0,0,3,0,-0.362701665379258,0.15,1,0,110
0,2,0,0,0,-0.0783157683713741,0.15,0,0,111
1,2,0,2,0,-0.0783157683713741,0.15,0,0,112
1,0,1,2,1,-0.0783157683713741,0.15,0,0,113
0,0,1,0,0,-0.0783157683713741,0.15,0,0,114
0,1,0,0,1,-0.0783157683713741,0.15,0,0,115
0,2,0,1,0,-0.0783157683713741,0.15,0,0,116
0,3,0,2,0,-0.0783157683713741,0.15,0,0,117
0,1,0,3,0,-0.0783157683713741,0.15,0,0,118
0,1,0,1,0,-0.0783157683713741,0.15,0,0,119
0,3,0,1,0,-0.0783157683713741,0.15,0,0,120
0,2,0,3,0,-0.0783157683713741,0.15,0,0,121
0,3,0,2,0,-0.0783157683713741,0.15,0,0,122
0,0,0,3,0,-0.0783157683713741,0.15,0,0,123
0,1,0,0,0,-0.0783157683713741,0.15,0,0,124
1,3,0,1,0,-0.0783157683713741,0.15,1,0,125
0,3,1,3,1,-0.362701665379258,0.15,0,0,126
0,3,0,3,0,-0.362701665379258,0.15,0,0,127
0,3,0,3,0,-0.362701665379258,0.15,0,0,128
1,2,0,3,0,-0.362701665379258,0.15,0,0,129
1,3,1,2,0,-0.362701665379258,0.15,0,0,130
1,2,1,3,1,-0.362701665379258,0.15,0,0,131
1,3,1,2,1,-0.362701665379258,0.15,0,0,132
1,3,1,3,1,-0.362701665379258,0.15,0,1,133
1,3,1,3,1,-0.362701665379258,-0.15,0,0,134
1,3,1,3,0,-0.362701665379258,-0.15,0,0,135
1,3,1,3,0,-0.362701665379258,-0.15,0,0,136
1,2,1,3,1,-0.362701665379258,-0.15,0,0,137
1,0,1,2,0,-0.362701665379258,-0.15,0,0,138
1,2,1,0,0,-0.362701665379258,-0.15,0,0,139
1,2,1,2,1,-0.362701665379258,-0.15,0,0,140
1,1,1,2,0,-0.362701665379258,-0.15,1,0,141
1,0,1,1,1,-0.187298334620742,-0.15,0,0,142
1,2,1,0,0,-0.187298334620742,-0.15,0,0,143
1,0,1,2,0,-0.187298334620742,-0.15,0,0,144
1,2,1,0,0,-0.187298334620742,-0.15,0,0,145
1,2,1,2,0,-0.187298334620742,-0.15,0,0,146
1,1,1,2,1,-0.187298334620742,-0.15,0,0,147
1,1,1,1,0,-0.187298334620742,-0.15,0,0,148
0,2,1,1,0,-0.187298334620742,-0.15,0,0,149
0,3,0,2,1,-0.187298334620742,-0.15,0,0,150
0,3,0,3,1,-0.187298334620742,-0.15,0,0,151
0,3,0,3,0,-0.187298334620742,-0.15,0,0,152
0,1,0,3,1,-0.187298334620742,-0.15,0,0,153
0,2,0,1,1,-0.187298334620742,-0.15,0,0,154
0,1,0,2,1,-0.187298334620742,-0.15,0,1,155
0,1,0,1,0,-0.187298334620742,0.15,0,0,156
0,3,0,1,0,-0.187298334620742,0.15,0,0,157
0,3,0,3,0,-0.187298334620742,0.15,0,0,158
0,2,0,3,1,-0.187298334620742,0.15,0,0,159
0,2,0,2,0,-0.187298334620742,0.15,0,0,160
0,1,0,2,0,-0.187298334620742,0.15,0,0,161
0,3,0,1,0,-0.187298334620742,0.15,0,0,162
0,3,0,3,0,-0.187298334620742,0.15,1,0,163
1,0,0,3,0,-0.362701665379258,0.15,0,0,164
1,3,1,0,1,-0.362701665379258,0.15,0,0,165
1,1,1,3,0,-0.362701665379258,0.15,0,0,166
0,3,1,1,0,-0.362701665379258,0.15,0,0,167
0,3,0,3,0,-0.362701665379258,0.15,0,0,168
0,3,0,3,0,-0.362701665379258,0.15,0,0,169
0,3,0,3,0,-0.362701665379258,0.15,0,0,170
0,2,0,3,0,-0.362701665379258,0.15,0,0,171
0,3,0,2,0,-0.362701665379258,0.15,0,0,172
1,0,0,3,1,-0.362701665379258,0.15,0,0,173
1,2,1,0,1,-0.362701665379258,0.15,0,0,174
1,3,1,2,0,-0.362701665379258,0.15,0,0,175
1,2,1,3,1,-0.362701665379258,0.15,0,0,176
1,3,1,2,0,-0.362701665379258,0.15,0,1,177
1,3,1,3,0,-0.362701665379258,-0.15,0,0,178
1,2,1,3,0,-0.362701665379258,-0.15,0,0,179
1,3,1,2,0,-0.362701665379258,-0.15,0,0,180
1,1,1,3,1,-0.362701665379258,-0.15,0,0,181
1,1,1,1,0,-0.362701665379258,-0.15,0,0,182
1,1,1,1,0,-0.362701665379258,-0.15,0,0,183
1,1,1,1,1,-0.362701665379258,-0.15,0,0,184
1,3,1,1,1,-0.362701665379258,-0.15,1,0,185
1,3,1,3,0,0.362701665379258,-0.15,0,0,186
1,2,1,3,1,0.362701665379258,-0.15,0,0,187
1,3,1,2,1,0.362701665379258,-0.15,0,0,188
1,3,1,3,0,0.362701665379258,-0.15,0,0,189
1,3,1,3,0,0.362701665379258,-0.15,0,0,190
1,3,1,3,0,0.362701665379258,-0.15,0,0,191
1,3,1,3,0,0.362701665379258,-0.15,0,0,192
1,3,1,3,0,0.362701665379258,-0.15,0,0,193
1,3,1,3,0,0.362701665379258,-0.15,0,0,194
1,3,1,3,1,0.362701665379258,-0.15,0,0,195
1,3,1,3,0,0.362701665379258,-0.15,0,0,196
1,3,1,3,0,0.362701665379258,-0.15,0,0,197
1,3,1,3,0,0.362701665379258,-0.15,0,0,198
1,3,1,3,0,0.362701665379258,-0.15,0,1,199
1,3,1,3,1,0.362701665379258,0.15,0,0,200
1,3,1,3,1,0.362701665379258,0.15,0,0,201
1,3,1,3,1,0.362701665379258,0.15,0,0,202
1,3,1,3,1,0.362701665379258,0.15,0,0,203
1,3,1,3,1,0.362701665379258,0.15,0,0,204
1,3,1,3,1,0.362701665379258,0.15,0,0,205
1,3,1,3,1,0.362701665379258,0.15,0,0,206
1,0,1,3,1,0.362701665379258,0.15,1,0,207
1,2,1,0,0,-0.55,0.15,0,0,208
1,0,1,2,0,-0.55,0.15,0,0,209
1,2,1,0,0,-0.55,0.15,0,0,210
1,0,1,2,0,-0.55,0.15,0,0,211
1,3,1,0,0,-0.55,0.15,0,0,212
1,0,1,3,1,-0.55,0.15,0,0,213
1,0,1,0,0,-0.55,0.15,0,0,214
1,2,1,0,0,-0.55,0.15,0,0,215
1,0,1,2,0,-0.55,0.15,0,0,216
1,2,1,0,0,-0.55,0.15,0,0,217
1,0,1,2,0,-0.55,0.15,0,0,218
1,3,1,0,0,-0.55,0.15,0,0,219
1,3,1,3,1,-0.55,0.15,0,0,220
1,1,1,3,0,-0.55,0.15,0,1,221
1,2,1,1,0,-0.55,-0.15,0,0,222
0,3,1,2,0,-0.55,-0.15,0,0,223
0,3,0,3,1,-0.55,-0.15,0,0,224
0,3,0,3,1,-0.55,-0.15,0,0,225
0,3,0,3,1,-0.55,-0.15,0,0,226
0,3,0,3,1,-0.55,-0.15,0,0,227
0,3,0,3,1,-0.55,-0.15,0,0,228
0,1,0,3,1,-0.55,-0.15,1,0,229
1,2,0,1,0,0.187298334620742,-0.15,0,0,230
1,3,1,2,1,0.187298334620742,-0.15,0,0,231
1,3,1,3,0,0.187298334620742,-0.15,0,0,232
1,2,1,3,0,0.187298334620742,-0.15,0,0,233
1,1,1,2,0,0.187298334620742,-0.15,0,0,234
1,2,1,1,0,0.187298334620742,-0.15,0,0,235
1,3,1,2,0,0.187298334620742,-0.15,0,0,236
1,1,1,3,1,0.187298334620742,-0.15,0,0,237
1,1,1,1,0,0.187298334620742,-0.15,0,0,238
1,0,1,1,0,0.187298334620742,-0.15,0,0,239
1,2,1,0,0,0.187298334620742,-0.15,0,0,240
1,2,1,2,1,0.187298334620742,-0.15,0,0,241
1,1,1,2,0,0.187298334620742,-0.15,0,0,242
1,3,1,1,0,0.187298334620742,-0.15,0,0,243
1,3,1,3,1,0.187298334620742,-0.15,0,0,244
1,1,1,3,0,0.187298334620742,-0.15,1,0,245
1,1,1,1,0,-0.108982566249368,-0.15,0,0,246
1,2,1,1,0,-0.108982566249368,-0.15,0,0,247
1,1,1,2,0,-0.108982566249368,-0.15,0,0,248
1,0,1,1,0,-0.108982566249368,-0.15,0,0,249
1,2,1,0,0,-0.108982566249368,-0.15,0,0,250
1,1,1,2,0,-0.108982566249368,-0.15,0,0,251
1,2,1,1,1,-0.108982566249368,-0.15,0,0,252
1,1,1,2,0,-0.108982566249368,-0.15,0,1,253
0,3,1,1,1,-0.108982566249368,0.15,0,0,254
0,3,0,3,0,-0.108982566249368,0.15,0,0,255
1,0,0,3,0,-0.108982566249368,0.15,0,0,256
1,1,1,0,0,-0.108982566249368,0.15,0,0,257
1,2,1,1,1,-0.108982566249368,0.15,0,0,258
1,1,1,2,0,-0.108982566249368,0.15,0,0,259
0,1,1,1,0,-0.108982566249368,0.15,0,0,260
0,3,0,1,0,-0.108982566249368,0.15,0,0,261
1,0,0,3,0,-0.108982566249368,0.15,1,0,262
1,0,1,0,0,-0.338956167944626,0.15,0,0,263
1,0,1,0,0,-0.338956167944626,0.15,0,0,264
1,1,1,0,0,-0.338956167944626,0.15,0,0,265
1,1,1,1,1,-0.338956167944626,0.15,0,0,266
1,0,1,1,1,-0.338956167944626,0.15,0,0,267
1,1,1,0,0,-0.338956167944626,0.15,0,0,268
1,0,1,1,1,-0.338956167944626,0.15,0,0,269
0,0,1,0,0,-0.338956167944626,0.15,0,0,270
0,3,0,0,1,-0.338956167944626,0.15,0,0,271
0,3,0,3,0,-0.338956167944626,0.15,0,0,272
0,3,0,3,0,-0.338956167944626,0.15,0,0,273
0,3,0,3,1,-0.338956167944626,0.15,0,0,274
0,3,0,3,0,-0.338956167944626,0.15,0,0,275
0,3,0,3,0,-0.338956167944626,0.15,0,1,276
0,3,0,3,1,-0.338956167944626,-0.15,0,0,277
0,3,0,3,1,-0.338956167944626,-0.15,0,0,278
0,3,0,3,1,-0.338956167944626,-0.15,0,0,279
0,3,0,3,1,-0.338956167944626,-0.15,0,0,280
0,2,0,3,1,-0.338956167944626,-0.15,0,0,281
0,1,0,2,1,-0.338956167944626,-0.15,0,0,282
0,3,0,1,0,-0.338956167944626,-0.15,0,0,283
0,0,0,3,1,-0.338956167944626,-0.15,1,0,284
0,0,0,0,0,0.55,-0.15,0,0,285
0,1,0,0,0,0.55,-0.15,0,0,286
0,0,0,1,0,0.55,-0.15,0,0,287
0,0,0,0,1,0.55,-0.15,0,0,288
0,0,0,0,1,0.55,-0.15,0,0,289
1,3,0,0,0,0.55,-0.15,0,0,290
1,3,1,3,0,0.55,-0.15,0,0,291
1,3,1,3,1,0.55,-0.15,0,0,292
0,0,1,3,0,0.55,-0.15,0,0,293
1,2,0,0,0,0.55,-0.15,0,0,294
1,3,1,2,0,0.55,-0.15,0,0,295
0,0,1,3,0,0.55,-0.15,0,1,296
0,0,0,0,1,0.55,0.15,0,0,297
0,0,0,0,1,0.55,0.15,0,0,298
0,0,0,0,1,0.55,0.15,0,0,299
0,0,0,0,1,0.55,0.15,0,0,300
